pv_name,pv_lat,pv_lon,feeder
pv_10,46.6121,-119.2115,S2_NewNeighborhood
pv_100,46.6056,-119.2068,S2_NewNeighborhood
pv_1001,46.6689,-119.1947,S2_main
pv_1003,46.7241,-119.1801,S2_main
pv_1005,46.6684,-119.1464,S2_main
pv_1007,46.6562,-119.174,S2_main
pv_1009,46.6505,-119.1656,S2_main
pv_1011,46.6563,-119.1693,S2_main
pv_1013,46.6919,-119.179,S2_main
pv_1015,46.7289,-119.1782,S2_main
pv_1017,46.6911,-119.1334,S2_main
pv_1019,46.6132,-119.2208,S2_main
pv_102,46.6052,-119.2073,S2_NewNeighborhood
pv_1021,46.6928,-119.1409,S2_main
pv_1023,46.6869,-119.2066,S2_main
pv_1025,46.6818,-119.1149,S2_main
pv_1027,46.6697,-119.1395,S2_main
pv_1029,46.629,-119.2145,S2_main
pv_1031,46.6395,-119.1894,S2_main
pv_1033,46.6455,-119.1809,S2_main
pv_1035,46.6917,-119.1649,S2_main
pv_1037,46.6842,-119.2169,S2_main
pv_1039,46.6609,-119.1628,S2_main
pv_104,46.6047,-119.2078,S2_NewNeighborhood
pv_1041,46.6995,-119.1512,S2_main
pv_1043,46.7265,-119.1784,S2_main
pv_1045,46.6485,-119.1715,S2_main
pv_1047,46.6937,-119.1775,S2_main
pv_1049,46.6958,-119.224,S2_main
pv_1051,46.7335,-119.1191,S2_main
pv_1053,46.6721,-119.194,S2_main
pv_1055,46.6809,-119.1055,S2_main
pv_1057,46.7405,-119.1792,S2_main
pv_1059,46.7129,-119.1928,S2_main
pv_106,46.6043,-119.2083,S2_NewNeighborhood
pv_1061,46.704,-119.086,S2_main
pv_1063,46.6958,-119.224,S2_main
pv_1065,46.6473,-119.1715,S2_main
pv_1067,46.6398,-119.1875,S2_main
pv_1069,46.6948,-119.2245,S2_main
pv_1071,46.6679,-119.1977,S2_main
pv_1073,46.7032,-119.2094,S2_main
pv_1075,46.6872,-119.2365,S2_main
pv_1077,46.6302,-119.2062,S2_main
pv_1079,46.7292,-119.1175,S2_main
pv_108,46.6039,-119.2088,S2_NewNeighborhood
pv_1081,46.7047,-119.1803,S2_main
pv_1083,46.7022,-119.1415,S2_main
pv_1085,46.6358,-119.2047,S2_main
pv_1087,46.687,-119.2139,S2_main
pv_1089,46.6731,-119.1788,S2_main
pv_1091,46.7235,-119.1873,S2_main
pv_1093,46.6607,-119.1464,S2_main
pv_1095,46.669,-119.1147,S2_main
pv_1097,46.6971,-119.1401,S2_main
pv_1099,46.6587,-119.1743,S2_main
pv_110,46.6034,-119.2094,S2_NewNeighborhood
pv_1101,46.6282,-119.2135,S2_main
pv_1103,46.7223,-119.1857,S2_main
pv_1105,46.6784,-119.1739,S2_main
pv_1107,46.6698,-119.1947,S2_main
pv_1109,46.6209,-119.2117,S2_main
pv_1111,46.7005,-119.1449,S2_main
pv_1113,46.6995,-119.1529,S2_main
pv_1115,46.7003,-119.2011,S2_main
pv_1117,46.693,-119.1592,S2_main
pv_1119,46.6667,-119.1402,S2_main
pv_112,46.603,-119.2099,S2_NewNeighborhood
pv_1121,46.6698,-119.1191,S2_main
pv_1123,46.6442,-119.1457,S2_main
pv_1125,46.6864,-119.1309,S2_main
pv_1127,46.7067,-119.1444,S2_main
pv_1129,46.6358,-119.1907,S2_main
pv_1131,46.6823,-119.1168,S2_main
pv_1133,46.6602,-119.1782,S2_main
pv_1135,46.6499,-119.1863,S2_main
pv_1137,46.6889,-119.1864,S2_main
pv_1139,46.6786,-119.0834,S2_main
pv_114,46.6095,-119.1979,S2_NewNeighborhood
pv_1141,46.6226,-119.2091,S2_main
pv_1143,46.7177,-119.1634,S2_main
pv_1145,46.6738,-119.1703,S2_main
pv_1147,46.6799,-119.1876,S2_main
pv_1149,46.672,-119.1256,S2_main
pv_1151,46.6728,-119.1847,S2_main
pv_1153,46.7297,-119.1707,S2_main
pv_1155,46.7006,-119.147,S2_main
pv_1157,46.6377,-119.185,S2_main
pv_1159,46.7293,-119.1724,S2_main
pv_116,46.61,-119.1974,S2_NewNeighborhood
pv_1161,46.6986,-119.1401,S2_main
pv_1163,46.6918,-119.2305,S2_main
pv_1165,46.6505,-119.1751,S2_main
pv_1167,46.7212,-119.1848,S2_main
pv_1169,46.6817,-119.2144,S2_main
pv_1171,46.6886,-119.1047,S2_main
pv_1173,46.7443,-119.1804,S2_main
pv_1175,46.6521,-119.1715,S2_main
pv_1177,46.6996,-119.1851,S2_main
pv_1179,46.6995,-119.1529,S2_main
pv_118,46.6104,-119.1968,S2_NewNeighborhood
pv_1181,46.6532,-119.1716,S2_main
pv_1183,46.7025,-119.1458,S2_main
pv_12,46.6117,-119.212,S2_NewNeighborhood
pv_120,46.6108,-119.1963,S2_NewNeighborhood
pv_122,46.6113,-119.1958,S2_NewNeighborhood
pv_124,46.6117,-119.1953,S2_NewNeighborhood
pv_126,46.6121,-119.1947,S2_NewNeighborhood
pv_128,46.6126,-119.1942,S2_NewNeighborhood
pv_130,46.613,-119.1937,S2_NewNeighborhood
pv_132,46.6135,-119.1932,S2_NewNeighborhood
pv_134,46.6139,-119.1927,S2_NewNeighborhood
pv_136,46.6143,-119.1921,S2_NewNeighborhood
pv_138,46.6148,-119.1916,S2_NewNeighborhood
pv_14,46.6113,-119.2125,S2_NewNeighborhood
pv_140,46.6152,-119.1911,S2_NewNeighborhood
pv_142,46.606,-119.2,S2_NewNeighborhood
pv_144,46.6056,-119.2005,S2_NewNeighborhood
pv_146,46.6052,-119.201,S2_NewNeighborhood
pv_148,46.6047,-119.2015,S2_NewNeighborhood
pv_150,46.6043,-119.2021,S2_NewNeighborhood
pv_152,46.6039,-119.2026,S2_NewNeighborhood
pv_154,46.6034,-119.2031,S2_NewNeighborhood
pv_156,46.603,-119.2036,S2_NewNeighborhood
pv_158,46.6026,-119.2041,S2_NewNeighborhood
pv_16,46.6108,-119.213,S2_NewNeighborhood
pv_160,46.6021,-119.2047,S2_NewNeighborhood
pv_162,46.6017,-119.2052,S2_NewNeighborhood
pv_164,46.6013,-119.2057,S2_NewNeighborhood
pv_166,46.6008,-119.2062,S2_NewNeighborhood
pv_168,46.6004,-119.2068,S2_NewNeighborhood
pv_170,46.6065,-119.1974,S2_NewNeighborhood
pv_18,46.6104,-119.2135,S2_NewNeighborhood
pv_2,46.6139,-119.2094,S2_NewNeighborhood
pv_20,46.61,-119.2141,S2_NewNeighborhood
pv_22,46.6095,-119.2146,S2_NewNeighborhood
pv_24,46.6091,-119.2151,S2_NewNeighborhood
pv_26,46.6087,-119.2156,S2_NewNeighborhood
pv_28,46.6082,-119.2162,S2_NewNeighborhood
pv_30,46.6113,-119.2062,S2_NewNeighborhood
pv_32,46.6108,-119.2068,S2_NewNeighborhood
pv_34,46.6104,-119.2073,S2_NewNeighborhood
pv_36,46.61,-119.2078,S2_NewNeighborhood
pv_38,46.6095,-119.2083,S2_NewNeighborhood
pv_4,46.6135,-119.2099,S2_NewNeighborhood
pv_40,46.6091,-119.2088,S2_NewNeighborhood
pv_42,46.6087,-119.2094,S2_NewNeighborhood
pv_44,46.6082,-119.2099,S2_NewNeighborhood
pv_46,46.6078,-119.2104,S2_NewNeighborhood
pv_48,46.6074,-119.2109,S2_NewNeighborhood
pv_50,46.6069,-119.2115,S2_NewNeighborhood
pv_52,46.6065,-119.212,S2_NewNeighborhood
pv_54,46.606,-119.2125,S2_NewNeighborhood
pv_56,46.6056,-119.213,S2_NewNeighborhood
pv_58,46.6121,-119.201,S2_NewNeighborhood
pv_6,46.613,-119.2104,S2_NewNeighborhood
pv_60,46.6126,-119.2005,S2_NewNeighborhood
pv_62,46.613,-119.2,S2_NewNeighborhood
pv_64,46.6135,-119.1994,S2_NewNeighborhood
pv_66,46.6139,-119.1989,S2_NewNeighborhood
pv_68,46.6143,-119.1984,S2_NewNeighborhood
pv_70,46.6148,-119.1979,S2_NewNeighborhood
pv_72,46.6152,-119.1974,S2_NewNeighborhood
