datetime,datetime_naive,GHI_clear,solar_elev,GHI_measured,CSI_measured,NSRDB_CSI,S2_CSI,S2_mask,S3_CSI,S3_mask,CSI_IDW_fallback,CSI_zeroshot,CSI_final,GHI_final,source
2024-01-01 00:00:00+00:00,2024-01-01 00:00:00,5.641714351804981,1.9917475602944223,,,1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:05:00+00:00,2024-01-01 00:05:00,2.5638998763384317,1.3629151349098825,,,1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:10:00+00:00,2024-01-01 00:10:00,0.8074114189513067,0.745648010194633,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:15:00+00:00,2024-01-01 00:15:00,0.07453882927955466,0.14478939458422185,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:20:00+00:00,2024-01-01 00:20:00,0.0,-1.0982988950586055,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:25:00+00:00,2024-01-01 00:25:00,0.0,-1.8154793172173247,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:30:00+00:00,2024-01-01 00:30:00,0.0,-2.539868993717088,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:35:00+00:00,2024-01-01 00:35:00,0.0,-3.271249114061529,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:40:00+00:00,2024-01-01 00:40:00,0.0,-4.0094044538101485,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:45:00+00:00,2024-01-01 00:45:00,0.0,-4.754122533662169,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:50:00+00:00,2024-01-01 00:50:00,0.0,-5.505194241494477,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 00:55:00+00:00,2024-01-01 00:55:00,0.0,-6.262413462898589,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 01:00:00+00:00,2024-01-01 01:00:00,0.0,-7.0255766837753795,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 01:05:00+00:00,2024-01-01 01:05:00,0.0,-7.794483606099287,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 01:10:00+00:00,2024-01-01 01:10:00,0.0,-8.568936222924957,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 01:15:00+00:00,2024-01-01 01:15:00,0.0,-9.34873952803824,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 01:20:00+00:00,2024-01-01 01:20:00,0.0,-10.133700561888283,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 01:25:00+00:00,2024-01-01 01:25:00,0.0,-10.92362911498307,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
