n,rmse,mae,r2,bias,peak_rmse,ramp_rmse,ramp_n_pairs,evaluation,subset,target,fold,test_station
52053,80.73903460481304,56.93310222004781,0.8816707796012478,-30.60344653963664,110.26952556480926,62.53337052199227,51687,legacy_saved,overall,GHI,0,S1
52053,0.21438635911648118,0.1640125271771666,0.21233558183724222,-0.03483305973502984,0.23555992992173883,0.13411159494206673,51687,legacy_saved,overall,CSI,0,S1
52053,80.74617856415453,56.93404570350488,0.8816519197021461,-30.604390029439898,110.32150112189147,62.54571427732704,51687,scientific_primary,overall,GHI,0,S1
52053,0.21442032450798512,0.16401818528181095,0.21221883758329307,-0.034838717725415316,0.23586883279155993,0.13413445499152404,51687,scientific_primary,overall,CSI,0,S1
6718,35.393757507889006,26.49065668905704,0.8104986488461132,1.850674035995906,76.596321011905,13.265592059739806,6656,scientific_primary,clear,GHI,0,S1
33168,72.57756378784696,54.559302352525,0.9052904704772327,-33.57775110639253,76.62928091646893,45.77186160877353,32941,scientific_primary,cloudy_smooth,GHI,0,S1
12166,113.32931205362136,80.22352802450962,0.777500053066871,-40.422080115626095,176.62341007108827,104.49493698182407,12090,scientific_primary,broken_cloud,GHI,0,S1
52142,83.29896031774284,52.37298902360614,0.8847931225475517,13.620497402896165,78.29926540837313,67.05705092037414,51776,legacy_saved,overall,GHI,1,S2
52142,0.22692697748968466,0.16167141785752664,0.18425158861632362,0.07093676237147614,0.1469698009310581,0.13723755605735813,51776,legacy_saved,overall,CSI,1,S2
52142,83.38017740846658,52.386377832515024,0.8846104175260462,13.607108548941714,79.15795185588502,67.22061739379373,51776,scientific_primary,overall,GHI,1,S2
52142,0.22700630750337372,0.16169352614245447,0.18425063578243694,0.07091465385508983,0.1481896492905724,0.13739547407581715,51776,scientific_primary,overall,CSI,1,S2
7456,38.557112482684786,27.065766959374272,0.4162627137818201,11.88852694546477,47.46842914944849,12.008825533391942,7386,scientific_primary,clear,GHI,1,S2
14544,61.046424759284115,43.11418822681149,0.8307470796065515,-5.551514139545128,96.97914046694981,38.98846925591418,14430,scientific_primary,cloudy_smooth,GHI,1,S2
30142,99.30074144462293,63.12372771956596,0.8661376604341129,23.276564882857077,88.82161251118964,83.91207119950109,29960,scientific_primary,broken_cloud,GHI,1,S2
52149,74.93759409602524,47.7610103492327,0.9018266375526942,2.644637006074923,76.88263159138502,65.65053241548462,51783,legacy_saved,overall,GHI,2,S3
52149,0.21146894759854393,0.1502327650426621,0.23766430540214656,0.03210701932331221,0.16926501379994535,0.1417854254977721,51783,legacy_saved,overall,CSI,2,S3
52149,74.93760469801784,47.76105819199915,0.9018265706188525,2.644589160102574,76.88263174355646,65.65052888271107,51783,scientific_primary,overall,GHI,2,S3
52149,0.2114950222005535,0.15023674972205078,0.23757150528479853,0.03210303451131071,0.16959047165187446,0.14178878375712112,51783,scientific_primary,overall,CSI,2,S3
8499,34.56571351323962,26.781577938235394,0.5629300638213113,18.21138469320094,44.403042509195444,14.826473376038935,8419,scientific_primary,clear,GHI,2,S3
26572,62.7069354265238,43.72570240741761,0.9250315829941784,1.3488300776920554,56.09970108027594,43.007194427958936,26388,scientific_primary,cloudy_smooth,GHI,2,S3
17078,102.1522671615981,64.48035064923296,0.843850769260656,-3.0862508034757514,106.64945129364294,100.81135031317334,16976,scientific_primary,broken_cloud,GHI,2,S3
52150,64.99630474552959,43.77593398478512,0.9100858911169778,4.516137315603332,44.783704741240186,35.41128912558475,51784,legacy_saved,overall,GHI,3,P2
52150,0.21203019645243495,0.1408998031755097,0.0909606291877112,0.045473994674648646,0.15478839568634697,0.1183735901427489,51784,legacy_saved,overall,CSI,3,P2
52150,64.99630461017534,43.775933913046536,0.9100858915113433,4.516137243005844,44.78370479114519,35.41128914560343,51784,scientific_reference,P2_all_diagnostic,GHI,3,P2
4012,32.367274265382726,23.769880522695342,0.4410637814142845,-1.4854258832480536,69.67291557242004,15.946849231309931,3968,scientific_primary,overall,GHI,3,P2
4012,0.2108115424110267,0.14096182803850377,-1.575379041510168,0.0443714714872293,0.2523622996210555,0.08381978726280659,3968,scientific_primary,overall,CSI,3,P2
2661,27.594299145294244,20.99298387302621,0.38335716617007465,6.297222658704806,45.276513971945526,13.527068777230445,2632,scientific_primary,clear,GHI,3,P2
1351,40.141564767559174,29.239400866714263,0.3931626087654211,-16.81453600177992,92.88826759727483,19.869762962168277,1336,scientific_primary,cloudy_smooth,GHI,3,P2
