pv_name,rmse,mae,r2,gof,n_train,n_val
pv_10,14.349412180186219,10.741110061775778,0.7413408870159487,84.11183252127475,52048,97
pv_100,13.971009335683762,10.746251119992783,0.7561205462382766,84.87753653879844,52052,97
pv_1001,13.22795550821537,9.953087479886934,0.7781432305000588,85.99400841052959,52044,97
pv_1003,16.243237306690542,12.229274018542053,0.6741735461606211,84.3419597286374,52052,97
pv_1005,12.76718192951187,9.610395269246446,0.7910062450213167,86.29892090055162,52049,97
pv_1007,14.210655742291882,11.00526777655808,0.7426812448097913,84.38645001960113,52051,97
pv_1009,12.710064219610114,9.726727246620607,0.7941873093325672,85.77523342532778,52047,97
pv_1011,14.064751812868556,10.768155935879834,0.7477606059039894,84.5255596321421,52053,97
pv_1013,14.43321547356367,11.478029588872623,0.7370208518664787,85.33984357809024,52048,97
pv_1015,16.47725514121363,12.607426426054275,0.6653463617758437,84.20580014063755,52048,97
pv_1017,13.056377057680834,9.801331369649505,0.7808187272206271,86.57155612026503,52048,97
pv_1019,14.493604950500362,10.899582399873388,0.7351661734890496,83.65072094212609,52049,97
pv_102,14.505120043345803,10.941458420354065,0.7370946770489282,84.2949819237485,52055,97
pv_1021,13.920199541299803,10.465551199347702,0.7515980896784143,85.73960598214698,52050,97
pv_1023,13.730154481844481,10.297773742915426,0.7637513610850684,86.04679782431874,52046,97
pv_1025,14.045713904778996,10.68444975164748,0.744880394356435,85.297730468263,52056,97
pv_1027,13.000761767550424,9.830363952732577,0.7829261275474156,86.07923602104599,52047,97
pv_1029,12.791330008340653,9.539483478954159,0.7929725297043453,85.47090249271436,52045,97
pv_1031,13.574582563358861,9.880158527564141,0.7664503106021113,84.56961162423318,52059,97
pv_1033,13.75331740598236,9.933247544255453,0.7597074738491015,84.49252221473206,52045,97
pv_1035,13.003936435211802,10.261258627452802,0.7852528288165963,86.72793074598621,52049,97
pv_1037,14.124945408652783,10.541381036964887,0.7502803266876016,85.61961716051107,52046,97
pv_1039,14.206193997826238,10.781499735037077,0.7422448930177541,84.52424172520878,52052,97
pv_104,14.505354440494141,10.90853216042838,0.737074827683127,84.29291944131951,52055,97
pv_1041,14.772679242287115,11.438754133748022,0.721849984847031,85.06355799594247,52062,97
pv_1043,16.561108459550233,12.628631681025645,0.661379221947211,84.07572290766184,52051,97
pv_1045,13.288742971781897,9.804498202029576,0.7752993994825669,85.07509597821723,52047,97
pv_1047,14.352528624070116,11.470405538917818,0.7400206338352016,85.46285118305353,52048,97
pv_1049,16.194981927684843,12.283180627417321,0.6753853623662303,83.88160235045395,52045,97
pv_1051,15.349768269012602,11.075708950149647,0.6941851718682404,84.99614168261121,52049,97
pv_1053,13.41618472373582,10.617234312959555,0.7719693805923397,85.88998495500687,52044,97
pv_1055,15.06374903942636,11.485539472355056,0.7058784551997107,84.20518019683736,52061,97
pv_1057,16.045054325275046,11.593905619683953,0.6859006012391374,84.85110577052355,52050,97
pv_1059,16.273590160966023,12.534268659691222,0.6729703457266527,84.12604305131205,52051,97
pv_106,14.662879625099341,11.076853038250785,0.7313071144811599,84.11724080925413,52055,97
pv_1061,12.998347029603245,10.120540586593224,0.7792605268533009,86.80272728251157,52059,97
pv_1063,16.194981927684843,12.283180627417321,0.6753853623662303,83.88160235045395,52045,97
pv_1065,12.861410732885133,9.507192006596584,0.789606325463063,85.5046696392664,52047,97
pv_1067,13.543287784880981,9.763486352771828,0.7675071096045061,84.60661586654452,52059,97
pv_1069,15.370699258210697,11.439902936880735,0.7073636773240826,84.67732671711642,52044,97
pv_1071,13.564203426849083,10.290836210902203,0.7668083868118734,85.6239242806294,52044,97
pv_1073,16.705951454632228,12.867993272868627,0.6551992916937348,83.52345085328503,52057,97
